name,tot,male,female,is_male,is_female
giuseppe,204446,204399,47,True,False
giovanni,152660,152607,53,True,False
antonio,149463,149458,5,True,False
francesco,116954,116951,3,True,False
mario,93718,93718,0,True,False
luigi,93106,93094,12,True,False
roberto,73949,73949,0,True,False
paolo,71182,71177,5,True,False
maria,69007,77,68930,False,True
angelo,68449,68433,16,True,False
franco,60392,60392,0,True,False
marco,59561,59551,10,True,False
domenico,58402,58402,0,True,False
vincenzo,58268,58268,0,True,False
pietro,58140,58140,0,True,False
salvatore,56522,56513,9,True,False
carlo,54302,54294,8,True,False
michele,49578,49560,18,True,False
claudio,46951,46948,3,True,False
giorgio,44768,44768,0,True,False
andrea,44570,44455,115,True,False
sergio,41658,41658,0,True,False
alessandro,41641,41641,0,True,False
massimo,41629,41628,1,True,False
stefano,40747,40744,3,True,False
bruno,40455,40455,0,True,False
mauro,39619,39612,7,True,False
luciano,38301,38301,0,True,False
maurizio,37692,37692,0,True,False
alberto,36350,36346,4,True,False
nicola,35442,35383,59,True,False
giancarlo,33738,33738,0,True,False
enrico,30371,30364,7,True,False
pasquale,28026,28014,12,True,False
gianfranco,26854,26853,1,True,False
fabio,26528,26528,0,True,False
renato,25268,25268,0,True,False
luca,25189,25164,25,True,False
aldo,25091,25086,5,True,False
anna,24648,0,24648,False,True
lorenzo,24333,24333,0,True,False
daniele,22127,22121,6,True,False
antonino,21896,21892,4,True,False
giacomo,21763,21763,0,True,False
gian,21693,21682,11,True,False
vittorio,21205,21205,0,True,False
raffaele,20950,20948,2,True,False
fabrizio,20538,20533,5,True,False
renzo,17778,17774,4,True,False
guido,17381,17381,0,True,False
enzo,17073,17073,0,True,False
gabriele,17043,17028,15,True,False
adriano,16761,16761,0,True,False
riccardo,16334,16334,0,True,False
giuliano,16170,16170,0,True,False
piero,15949,15949,0,True,False
gianni,15898,15883,15,True,False
pier,15826,15826,0,True,False
gaetano,15764,15764,0,True,False
dario,15288,15288,0,True,False
emilio,15277,15267,10,True,False
davide,15124,15119,5,True,False
rocco,15076,15076,0,True,False
filippo,14798,14793,5,True,False
vito,14541,14538,3,True,False
silvano,14516,14516,0,True,False
marcello,14476,14476,0,True,False
matteo,14113,14113,0,True,False
carmine,13955,13950,5,True,False
pierluigi,13886,13886,0,True,False
giulio,13820,13820,0,True,False
paola,13803,0,13803,False,True
sandro,13364,13364,0,True,False
cesare,13294,13288,6,True,False
umberto,13078,13078,0,True,False
alfredo,12471,12471,0,True,False
leonardo,12269,12269,0,True,False
carmelo,12203,12198,5,True,False
walter,11947,11947,0,True,False
flavio,11666,11661,5,True,False
fausto,11613,11613,0,True,False
elio,11483,11483,0,True,False
armando,11401,11396,5,True,False
silvio,11362,11362,0,True,False
eugenio,11144,11144,0,True,False
laura,10897,0,10897,False,True
annamaria,10865,0,10865,False,True
gino,10727,10723,4,True,False
daniela,10589,0,10589,False,True
donato,10542,10542,0,True,False
giovanna,10444,6,10438,False,True
ezio,10426,10426,0,True,False
gianluca,10393,10373,20,True,False
diego,10276,10276,0,True,False
federico,10197,10197,0,True,False
ugo,10174,10174,0,True,False
agostino,10141,10141,0,True,False
ernesto,10059,10059,0,True,False
francesca,9680,0,9680,False,True
simone,9618,9601,17,True,False
danilo,9548,9548,0,True,False
alfonso,9514,9514,0,True,False
felice,9492,9491,1,True,False
graziano,9441,9432,9,True,False
patrizia,9368,0,9368,False,True
sebastiano,9343,9343,0,True,False
valter,9312,9312,0,True,False
fernando,9236,9236,0,True,False
massimiliano,9010,9010,0,True,False
rosario,8987,8987,0,True,False
antonella,8879,5,8874,False,True
corrado,8858,8858,0,True,False
angela,8825,2,8823,False,True
valerio,8665,8665,0,True,False
emanuele,8547,8532,15,True,False
dino,8502,8502,0,True,False
attilio,8342,8337,5,True,False
tommaso,8302,8302,0,True,False
lino,8238,8238,0,True,False
lucio,8105,8105,0,True,False
gianluigi,8105,8105,0,True,False
marino,7954,7954,0,True,False
elena,7951,5,7946,False,True
giuseppina,7867,3,7864,False,True
gerardo,7844,7844,0,True,False
lucia,7775,0,7775,False,True
livio,7759,7759,0,True,False
silvia,7729,1,7728,False,True
romano,7720,7720,0,True,False
italo,7568,7568,0,True,False
cosimo,7458,7458,0,True,False
ettore,7297,7291,6,True,False
augusto,7211,7211,0,True,False
carla,7210,0,7210,False,True
remo,7152,7152,0,True,False
ferdinando,7115,7115,0,True,False
stefania,7087,0,7087,False,True
tiziano,6905,6905,0,True,False
cristina,6856,0,6856,False,True
giovannibattista,6748,6748,0,True,False
barbara,6739,0,6739,False,True
ivano,6639,6639,0,True,False
monica,6634,0,6634,False,True
fulvio,6474,6474,0,True,False
mariano,6351,6351,0,True,False
roberta,6296,0,6296,False,True
alessandra,6232,0,6232,False,True
egidio,6207,6202,5,True,False
gennaro,6206,6206,0,True,False
rosa,6079,0,6079,False,True
piergiorgio,6023,6023,0,True,False
gianpaolo,6017,6016,1,True,False
mariagrazia,6010,5,6005,False,True
franca,5906,1,5905,False,True
valentino,5905,5905,0,True,False
biagio,5895,5895,0,True,False
dante,5875,5875,0,True,False
rita,5778,11,5767,False,True
ivo,5684,5679,5,True,False
pierangelo,5579,5578,1,True,False
saverio,5532,5528,4,True,False
giampiero,5505,5505,0,True,False
claudia,5501,1,5500,False,True
